,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
THBS1,127.591702997151,-5.08311719971511,0.36694342614111,-13.8525909924882,1.22704858140256e-43,2.14451280571726e-39
PID1,18.513438405292,-4.05883131060119,0.526313920100646,-7.71180688100559,1.24048747730625e-14,7.22666654696046e-11
C5AR1,39.1367145133998,-1.58113349578616,0.255433274149708,-6.19000598512262,6.01619306369896e-10,1.50207151677524e-06
DUOX2,94.6303443513294,-6.9213054599582,1.12812706183395,-6.13521800346366,8.5042492692442e-10,1.85785955598226e-06
DAB2IP,18.5321286798485,-2.16370567072248,0.3840271313087,-5.63425209919135,1.75819669536351e-08,2.19485740320486e-05
VMO1,8.79883394485164,-3.52513110032484,0.667298123849623,-5.28269295886591,1.27298641959261e-07,0.0001112399182761
CD93,9.20842571173284,-2.9366528937147,0.588776025552602,-4.98772498584411,6.10944525307922e-07,0.000410672210338713
LINC02576,47.5364425678669,-3.6866730016014,0.74091267679827,-4.97585358848595,6.49607357719245e-07,0.000420488436698491
ADGRE2,8.22895878644791,-2.19074867440981,0.458650605281134,-4.77650884831378,1.78364708473057e-06,0.000779320002495905
NRG1,5.90081047442524,-2.62908380081912,0.566607122032355,-4.64004721894227,3.48329577622806e-06,0.00135283467291417
CLEC5A,21.3787680618426,-4.36905147297008,0.976270103164872,-4.47524866203164,7.63224338056638e-06,0.00229980547520963
CD300E,16.2395010283073,-4.20260905271757,0.967454653149791,-4.34398556979898,1.39920710270683e-05,0.00344421725831088
SDC2,10.5606756750167,-2.56140190231725,0.597167513968663,-4.28925191408129,1.79275940179956e-05,0.00417490593223597
TNFRSF11A,7.88694386109858,-2.78792821624855,0.654846533099386,-4.25737646201362,2.06839889699014e-05,0.00451867594033708
ALAS2,16.8319452115532,-5.58744487514893,1.3183975812479,-4.23805758947181,2.25461942975669e-05,0.00486468935479724
IL1B,28.2566591349234,-3.10371518296128,0.735869443936914,-4.21775249473106,2.46749446258822e-05,0.00519571093044029
S100A8,31.6432535857008,-2.36932057382593,0.563901117842931,-4.20165965070117,2.64965286237876e-05,0.00551285512807066
LILRA1,4.58538486660245,-1.98203950080689,0.483380067866054,-4.10037490696889,4.12481356050454e-05,0.00735605781601406
PTGS2,3.31313170928937,-3.07424039913902,0.755323291262531,-4.07009877055479,4.69932100024854e-05,0.00791946144106723
SEMA6B,46.7007127154287,-2.46271720461433,0.617773198622666,-3.98644228999412,6.70714319149075e-05,0.0103735169520074
FCAR,4.96467829305646,-3.0621072586007,0.781606075764428,-3.91771168821313,8.93935331234988e-05,0.0124986904081039
HBEGF,6.71312204345977,-2.1240446587989,0.543646090526312,-3.90703565391701,9.3435370728828e-05,0.0128580312931317
DUSP6,75.0149335473339,-1.52838252238286,0.39243610157079,-3.89460224547451,9.83599967393596e-05,0.0131224249085022
SLC7A11,10.0513774618075,-3.22661715566196,0.856563112923545,-3.76693451653452,0.00016526432633913,0.0199194802167516
S100A9,113.228595304545,-1.93185287489252,0.520809373419892,-3.7093281601424,0.000207809941941077,0.0228421028635485
MGST1,4.3236159882033,-1.66631941436531,0.451713144696295,-3.68888847696838,0.000225235914815365,0.0240027322148057
VCAN,25.1828032831024,-2.70273631979301,0.736009788893103,-3.67214724665239,0.000240521024408257,0.0251711733148689
SYS1-DBNDD2,15.041993839535,-2.85691953738857,0.781545290897242,-3.65547533925862,0.000256705885697063,0.0262365424814477
PHLDA1,19.6846124376864,-1.5237541677808,0.423124698836803,-3.60119409708225,0.000316758976515197,0.0304175639151434
LPCAT2,8.60409053786153,-2.50433525794959,0.697366607734747,-3.59113159444845,0.000329245332976982,0.0312729385023843
ACKR2,5.68980176874351,-1.67196833708102,0.46666534415352,-3.58279944724368,0.000339931590992087,0.0316009809349399
GPR162,3.61098287404911,-1.92848477471598,0.543676062475751,-3.54712099321458,0.000389465681937361,0.0347280189960166
PLCD3,100.621379678646,-1.63800774635643,0.463974563652682,-3.53038264309376,0.000414959059668714,0.0359021756724264
ASGR2,5.53395628957588,-3.22557494752747,0.913423942671281,-3.53130107154228,0.000413520775374412,0.0359021756724264
KCNK13,3.16853860399994,-2.50086214179895,0.712922999251499,-3.50789937261755,0.000451659856686275,0.0383096789055096
MYCL,4.84750857086695,-2.24348310829505,0.640291165272462,-3.50384829586143,0.000458586523289929,0.0385322916708562
GALNT16,3.28525738373439,-4.03253680758207,1.16284573319453,-3.4678175208194,0.00052470345727701,0.0411842228339344
FN1,16.1280164759534,-1.93233674365716,0.558312301461272,-3.46103200413039,0.000538108835793663,0.0419845005498476
