,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NDUFA4L2,128.043522580272,-2.40987229294352,0.292583009096381,-8.2365421710106,1.77259220645484e-16,1.47160604979881e-12
ATF3,135.162509470047,-3.46239064994457,0.468282691608293,-7.39380445186467,1.426862089342e-13,7.89720604381152e-10
SLC6A9,337.356173383316,-2.64766051910207,0.401371084498012,-6.59654026251904,4.20863247019699e-11,1.74700333837877e-07
BIRC5,71.0836483620057,-7.05628328581385,1.1223959203468,-6.28680411065072,3.24067861924741e-10,8.96803796566401e-07
TYMS,110.655549335339,-6.40861815333162,1.04236898285527,-6.14812821442277,7.84026475278756e-10,1.4464417328365e-06
VEGFA,766.82444155865,-3.52758381765572,0.60691704434746,-5.81229980358926,6.16203546500145e-09,9.30131244189855e-06
RRM2,163.549474120606,-6.26836040475796,1.1008042067324,-5.69434633917761,1.23845463881839e-08,1.71360840191172e-05
DLGAP5,18.5609866111794,-7.18657503015465,1.28125505472839,-5.60901204146128,2.03484867249853e-08,2.4423328623531e-05
SPC25,14.1340277093612,-7.21453020858915,1.33806394372929,-5.39176789151172,6.97678497944542e-08,6.81426692933599e-05
PKMYT1,53.7056395209772,-5.86047077675196,1.09040484348207,-5.37458248813099,7.67603368479376e-08,7.07730477496537e-05
SESN2,1087.91939333745,-2.19295066310719,0.408757498464955,-5.36491849407675,8.09857809710564e-08,7.07730477496537e-05
ADM2,218.387992081335,-2.18791543996655,0.415628224420112,-5.26411661050966,1.40865023700619e-07,0.000116946142676254
MKI67,95.2198358595404,-4.81464113387249,0.930878734811541,-5.17214643951151,2.31420101772508e-07,0.00018297616046813
UBE2C,41.7440365698448,-5.29749372068564,1.0417096493217,-5.08538413187885,3.66882756953165e-07,0.000264857447671755
CCL4L2,164.690135961063,-5.80239054532586,1.18625413563746,-4.89135537741062,1.00143963132474e-06,0.00066511614554064
CDC45,30.3942695337895,-4.45620755453529,0.933595418262605,-4.77316776342816,1.81350603066247e-06,0.000971337230100636
COPZ2,56.938978097675,-3.04280303966072,0.650095584624063,-4.68054715587757,2.86110290199315e-06,0.00128912776422239
CDC6,51.4592709947497,-3.48349784706111,0.741117278563511,-4.70033279188023,2.59737856965499e-06,0.00128912776422239
CBS,79.6869769122543,-4.46992446924886,0.954427988688253,-4.68335434650469,2.8221801539363e-06,0.00128912776422239
CDK1,55.3605850534476,-4.38236013759148,0.936759301305575,-4.67821363661265,2.89384956429026e-06,0.00128912776422239
CSF1,47.6369795100464,-3.51682920501821,0.751902217067506,-4.67724276533483,2.90757963099714e-06,0.00128912776422239
CKAP2L,22.7910222372886,-5.1324653522034,1.10075085770353,-4.66269484714385,3.12095358386109e-06,0.00132872598221614
AURKB,38.3514891269,-4.29614169693685,0.929800991270674,-4.62049593114082,3.82823852152175e-06,0.00158910181028368
SKA3,24.2060542994063,-4.16434001459646,0.903989030974951,-4.60662670884981,4.09253722420897e-06,0.0015982959495218
CCL4,758.969152039335,-4.37897124777204,0.95028750281883,-4.6080488639309,4.0646515369744e-06,0.0015982959495218
CCL3L1,27.4371033303486,-6.32893165594857,1.38017351449863,-4.58560578757929,4.52672000511014e-06,0.00168359545574823
NCAPG,35.2223847138274,-3.04658149523856,0.666078757970574,-4.57390580135143,4.78715133706859e-06,0.00172795349566711
SKA1,43.6721134658451,-2.56446971287133,0.564751459724463,-4.54088195561727,5.60193917989555e-06,0.00189825710495889
PSAT1,480.133755917854,-2.92040656522021,0.644694194374844,-4.52990982500177,5.90088665950586e-06,0.0019595664418887
MCM10,18.8248309898382,-4.4107313343911,0.983089764743919,-4.48660080958124,7.23684835037009e-06,0.00222519685202861
MELK,23.8325192481177,-4.70886511402997,1.04685046323181,-4.49812583498591,6.85551190527076e-06,0.00222519685202861
PCLAF,41.3365090236706,-4.7189063667976,1.05125995547557,-4.48881015796218,7.16220880502272e-06,0.00222519685202861
CDT1,163.933207719174,-4.43815291159257,0.98812629556507,-4.49148345865502,7.07287949493962e-06,0.00222519685202861
KIF20A,16.2749878350447,-5.26393116941074,1.19088835114819,-4.42017185266405,9.86224398533848e-06,0.00287285437074667
CHAC1,839.192353444194,-2.45922487721007,0.561058893875568,-4.38318490991693,1.16956761075605e-05,0.00334818976017128
MEF2B,1219.5299340307,-3.1818889983941,0.728456823456479,-4.36798571437116,1.25397693384356e-05,0.00341328409992434
HJURP,32.829853083531,-4.80702483482915,1.11706527160493,-4.30326226857156,1.68301423032403e-05,0.00429919512004619
KIF18B,18.0239803074807,-6.57647383549385,1.53388823634056,-4.28745307492776,1.80733420807424e-05,0.00447895181953204
KIF4A,26.6422034742303,-4.3730246297726,1.03375558631649,-4.23023071184039,2.33451757481863e-05,0.00545948307215331
CEP55,33.57672896952,-3.47096000550457,0.833323823617869,-4.16519953844043,3.11080367218894e-05,0.00679628739118752
FOXM1,59.6192025396462,-2.97567895495956,0.719399280333287,-4.13633852063485,3.52891483022574e-05,0.00752421015637738
CCNE2,28.0638060127349,-3.23269755158094,0.781606109657274,-4.13596760777426,3.53462052636374e-05,0.00752421015637738
LGALS9C,251.964329862165,-2.18547743390591,0.529997853170131,-4.12355903110492,3.73062793810312e-05,0.00784092990940053
ASS1,161.841709256901,-4.77439843879598,1.15891939406706,-4.11969845637059,3.79368552316198e-05,0.00787379430332268
IL4I1,141.296631152239,-2.70077215512011,0.664753996828896,-4.06281446671057,4.84845654961172e-05,0.00904536770221943
PLEKHH3,48.5939047635706,-2.18401314637739,0.543503734192263,-4.01839584344935,5.85957002716896e-05,0.0103797130003896
TPX2,74.3694531400827,-3.32771859958325,0.828259269211109,-4.0177257572412,5.8762528429091e-05,0.0103797130003896
TMEM88,6.54374416383505,-2.59164369413847,0.648296966587236,-3.99761810977059,6.39830676319346e-05,0.0107310591410166
CCNA2,70.6739380424758,-2.80713383408329,0.71347273266179,-3.93446547510032,8.3382052743993e-05,0.0135732902329535
SPP1,16.8424450850722,-5.3955908927378,1.3865498962225,-3.8913788154595,9.96761699380982e-05,0.0154675058472167
HOXB9,10.442884601984,-3.66129189582846,0.940838526165763,-3.89151995162174,9.96181956328306e-05,0.0154675058472167
IQGAP3,12.8079972051055,-6.25491675739517,1.60862964479857,-3.88835104315039,0.000100927581141866,0.0155166810859218
DEPDC1B,13.3382655333243,-3.2327858795595,0.839820213296025,-3.84937850789737,0.000118417900207923,0.0173003828225723
RAD54L,18.6081684258201,-2.61295524433185,0.680590322829697,-3.83924830648184,0.000123411570936599,0.0178184845550547
KCNN3,68.9611994670156,-2.05252050200356,0.536651913673779,-3.82467750455325,0.000130943376354542,0.0185827677007762
MCOLN3,9.97037361363752,-2.5500848386769,0.667689462044331,-3.81926776389289,0.000133848407946537,0.0186757896264227
SLC7A5,3200.20031024922,-2.08567236907952,0.545990130170245,-3.81998181620827,0.000133461512815469,0.0186757896264227
ZWINT,90.6346792435762,-2.44230873545352,0.641677952548522,-3.80612848821362,0.000141159068887213,0.01921151786724
CENPA,12.9059472215413,-4.38003236869864,1.15661767887789,-3.78693188655735,0.000152518887079411,0.0202593888085323
TEDC2,22.1485308975343,-2.13078390829258,0.56323071004867,-3.78314582333135,0.00015485862534689,0.0203172911212191
GJC1,5.60018706510428,-3.77602249554331,0.998347116760936,-3.78227415309651,0.000155402070127369,0.0203172911212191
PAQR4,44.9440335519973,-2.09682870704898,0.554903710071394,-3.77872533376864,0.000157633174530422,0.0204479783586182
DTNB-AS1,5.77543360997001,-4.58130008628062,1.22524864517401,-3.73907786335889,0.00018469651797209,0.0230579021384104
UHRF1,132.584573844376,-2.85312846711796,0.765408560643562,-3.72758891632859,0.00019332036629254,0.0239544131486667
CDC20,43.2841074943538,-2.88200931124579,0.774138639462393,-3.72285940054255,0.000196979224886703,0.0242269855556949
ASPM,27.3977673109513,-3.67657461425094,0.995437411310202,-3.69342619885243,0.000221252742326483,0.0269656918893739
TICRR,14.6930646660674,-3.69840945721928,1.00173514072829,-3.69200331190381,0.000222494566902206,0.0269656918893739
KIFC1,92.8756602172527,-2.79044757316455,0.764059019136652,-3.65213616131069,0.000260067919492235,0.0310659549298495
PBK,14.8455366785969,-5.03757348837048,1.38190333871472,-3.64538773967781,0.000266988945677284,0.0314403152767774
INHBE,12.5597213998282,-2.48318098115393,0.682333935870595,-3.63924590381926,0.000273437596849568,0.0319729426626072
SLC12A8,21.0850187226712,-2.60845864086697,0.719060346764226,-3.62759350116446,0.00028607519035605,0.0332167304942088
SHCBP1,44.108910583964,-2.78892616840062,0.76984489427521,-3.62271178147687,0.000291530599931117,0.033588623473851
GTSE1,24.6130549101757,-3.20557996099611,0.898771258222348,-3.56662491336931,0.000361608481761663,0.0394439796102049
DTL,79.4095832691042,-2.62931109399155,0.739473126310821,-3.5556546958089,0.000377039015467254,0.040290010906691
SAPCD2,35.3331066173024,-2.74446938108516,0.772086989631801,-3.55461161493469,0.000378537804230535,0.040290010906691
EPOP,138.46897942832,-2.65230682062386,0.748312307164014,-3.54438487143916,0.000393530329809379,0.0411426756181293
DDN,5.02930281646567,-3.10811521650367,0.884508333299461,-3.51394678771373,0.00044150124617398,0.0438298031251656
ENSG00000273812,7.47555630531129,-2.59258480408533,0.746302603896586,-3.47390561221274,0.00051294143826721,0.0486770012628392
