"","DA_TFs_auto"
"1","ATF4"
"2","ATF6"
"3","E2F4"
"4","FOXL2"
"5","FOXM1"
"6","GLYR1"
"7","GTF2B"
"8","HIC1"
"9","HIF1A"
"10","IRF7"
"11","MYC"
"12","MYNN"
"13","NFKB1"
"14","NR1H3"
"15","PPARA"
"16","RELA"
"17","SP1"
"18","SREBF1"
"19","STAT3"
"20","TERF1"
"21","VDR"
"22","EBF1"
"23","ETV6"
"24","IRF1"
"25","LYL1"
"26","NFE2L2"
"27","NME2"
"28","SPI1"
"29","SPIB"
"30","TEAD4"
"31","TERF2"
"32","ZNF584"
"33","ZNF589"
"34","ZNF750"
"35","ZNF92"
"36","CEBPA"
"37","E2F1"
"38","E2F2"
"39","E2F3"
"40","MBD3"
"41","PIN1"
"42","SREBF2"
"43","TFDP1"
"44","ZHX2"
