"","D1_p1_rep1_auto","D4_p1_rep1_auto","D8_p1_rep1_auto","D11_p1_rep1_auto","D14_p1_rep1_auto","D1_p1_rep2_auto","D4_p1_rep2_auto","D8_p1_rep2_auto","D11_p1_rep2_auto","D14_p1_rep2_auto","D1_p2_rep1_auto","D4_p2_rep1_auto","D8_p2_rep1_auto","D11_p2_rep1_auto","D14_p2_rep1_auto","D1_p2_rep2_auto","D4_p2_rep2_auto","D8_p2_rep2_auto","D11_p2_rep2_auto","D14_p2_rep2_auto","D1_p3_rep1_auto","D4_p3_rep1_auto","D8_p3_rep1_auto","D11_p3_rep1_auto","D14_p3_rep1_auto","D1_p3_rep2_auto","D4_p3_rep2_auto","D8_p3_rep2_auto","D11_p3_rep2_auto","D14_p3_rep2_auto","D1_p1_rep1_B","D4_p1_rep1_B","D8_p1_rep1_B","D11_p1_rep1_B","D14_p1_rep1_B","D1_p1_rep2_B","D4_p1_rep2_B","D8_p1_rep2_B","D11_p1_rep2_B","D14_p1_rep2_B","D1_p2_rep1_B","D4_p2_rep1_B","D8_p2_rep1_B","D11_p2_rep1_B","D14_p2_rep1_B","D1_p2_rep2_B","D4_p2_rep2_B","D8_p2_rep2_B","D11_p2_rep2_B","D14_p2_rep2_B","D1_p3_rep1_B","D4_p3_rep1_B","D8_p3_rep1_B","D11_p3_rep1_B","D14_p3_rep1_B","D1_p3_rep2_B","D4_p3_rep2_B","D8_p3_rep2_B","D11_p3_rep2_B","D14_p3_rep2_B"
"{A2M} / {LRP1}",0.197084795746102,0.64472377381757,0.158737638443477,0.0709641700489033,-0.251309380320578,-0.0526365480823571,0.126380950522132,0.188255431935955,0.675930506365265,-0.289545774747707,1.44771952951674,0.353643303526547,0.426241126786818,1.05207943621803,0.620363178196478,1.53346478586695,0.871748906242654,0.477146976100499,0.393586374685445,0.307647254524609,0.779686711709848,0.821628310978897,0.170811168531603,-0.0374665327823772,-0.0241016489460997,0.842963590100177,1.01156111653943,0.0965903680625166,0.271532173898148,-0.314306547148122,-0.711388201996094,-0.947709675156157,-0.699187452417191,-0.56064415803232,-0.685564483486911,-0.705968006194553,-0.846045158308814,-0.69029744792525,-0.57299529137451,-0.693530358053307,-0.341685323612596,-0.551673427546171,-0.640959840988593,-0.822245714722283,-0.706002137863871,-0.264295450011447,-0.526190062967456,-0.557619488424643,-0.661381997983419,-0.785847101308307,-0.0410511686473805,0.119445774661617,0.236271718786433,0.0452165825820857,-0.0752329908066783,-0.0353973949273961,-0.000856411507652588,0.203876370470708,0.117543878514897,-0.169710727090298
"{ADAM15} / {ITGA5}",-1.23557528418116,-0.999460287212132,-0.725637259556664,-0.0790148444806744,-0.22825235725972,-1.00245505992406,-1.00509989340896,-0.677696667945868,-0.0656476389132923,-0.0914776604038672,-0.00998454134331987,-0.623868956461624,0.126512302571049,-0.1806472086434,-0.497293898175954,-0.183129742268113,-0.198704116714354,0.0618893822958829,0.0156534335268872,-0.278574715117677,1.37750717627418,1.00121752330127,1.37301777968129,1.01504860345342,1.40149644156617,1.29281926859748,1.35243964499672,1.21413845580046,1.20950096159182,0.191110317745737,-1.15320374013037,-1.06763652257568,-0.762127847792064,-0.24650278908607,-0.663513350268719,-1.24535424754325,-1.11096511087513,-0.380880012579217,-0.232669727540486,-0.757552941035816,-0.542088473059073,-0.30777689838356,-0.30973617138573,-0.701337921582103,-0.722372104582118,-0.404751744834446,-0.699620046918981,-0.405403858181396,-0.608644642417957,-0.42038262228128,0.791500159039657,0.890296482721413,0.981233098508762,1.16871068962989,0.862646429660244,0.770047959821128,0.705229569899992,1.23257178198749,0.911521374947218,0.878932067446112
"{ADAM15} / {ITGAV}",-1.329540716741,-1.15609135010863,-0.848553013460454,-0.165555486470379,-0.430607596024371,-1.17213176190661,-1.15323024662969,-0.895082323310478,-0.121417946172218,-0.316978406284488,0.298461229372676,-0.318995830640875,0.211731110891143,0.146919376742565,-0.0341826421173027,0.197026726207832,-0.0888265550259967,0.127455353962131,0.356793356305325,0.0918793202729487,0.606739729080392,0.594125486880265,1.26403484843051,1.10309353776191,1.1196883287331,0.623943488527617,0.793204387197925,0.750866670155104,1.00350259872153,0.738658702130114,-1.16938862000774,-1.20127244897759,-0.955721402983216,-0.323794856757973,-0.711297774385249,-1.28712688807605,-1.22183908590507,-0.669918490030008,-0.364651343210848,-0.722305751786598,-0.102281792317723,-0.203260843087269,0.134074442747568,-0.112194454751031,-0.141206235147582,0.0297715965450855,-0.42905643608507,0.138970875950207,0.114406623344423,-0.198763047391798,0.340154640201691,0.569351525740076,0.83890900472617,1.02897051288671,0.846697652929316,0.259617215256899,0.414115553246027,0.911497027256097,1.04730054243621,1.14331188115373
"{ADAM15} / {ITGB1}",-0.809228743064938,-0.749629901788881,-0.476161072258703,0.228884469565932,0.120592252448694,-0.623241113070651,-0.800074532320938,-0.461700526321389,0.202612275169392,0.191588724047347,-0.327092768199675,-0.556475891913967,-0.0978830365963997,-0.320208367374785,-0.574355168724008,-0.449520632070681,-0.240952466738674,-0.109730536725161,-0.205423496609327,-0.515197919870721,1.01070647645769,0.763684091297288,1.24017207362156,0.938616541170469,1.22183412751339,1.05772237873981,0.993919772819099,0.853859950443269,0.996569091224639,0.679898639444514,-0.706430135796745,-0.720235867199866,-0.489913924947598,0.00921822460926311,-0.298685441078987,-0.743672224463416,-0.767538896068084,-0.104983122798464,0.0384009920410307,-0.344334022368818,-0.757467353271125,-0.373859616829293,-0.425552497169181,-0.966873159155979,-1.04519469574553,-0.624834366538335,-0.70818901287712,-0.449910682464965,-0.785992758222717,-1.03108294250668,0.673333624439085,0.727486477643073,0.775933374235269,1.04319652945741,0.81176895448666,0.647918065208839,0.577898758281161,1.02428477069464,0.873731934386967,0.9577943237053
"{ADAM9} / {ITGAV}",-0.679560212265571,-0.88738876877217,-0.919403933257362,-0.517306020786948,-0.694700344210625,-0.786146646158729,-0.864353461176491,-0.950443481583532,-0.153480399556865,-0.597615654989361,0.861593151033675,-0.128976950472846,-0.179711939840901,0.23847223540312,-0.142439962992846,0.661107307251445,-0.101074951488929,-0.323464532149531,0.282135678575441,-0.0761344853433052,0.453761257145157,0.469077236114108,0.726691564119671,0.793172067523565,0.740356056230645,0.549962799965357,0.699359928038248,0.57432280015125,0.596971000241181,1.01813814611608,-0.971729279995627,-0.805025801489651,-0.630024021142156,-0.557819920113677,-0.765094228366079,-0.966986772010032,-0.772521390163629,-0.510076500194073,-0.516573302040361,-0.784735516706137,0.250720841321392,-0.499645683806384,-0.170740340205977,0.864916830685435,-0.129774246966178,0.0706885629430782,-0.487668323344035,-0.14552948344191,0.626162651083365,-0.0698196325822804,0.223436894162776,0.396973432007861,0.725074217138598,0.915342678648405,0.526880447791247,0.129269097625789,0.410745426375594,0.709640420201918,1.14809194949251,1.12290151022728
"{ADAM9} / {ITGB5}",-0.321309373316001,-0.460553371693724,-0.637762647586329,-0.453679169114033,-0.626855031495501,-0.395173662352948,-0.445978299388065,-0.552781889217383,-0.329719291918187,-0.422288833195586,0.448519825531642,-0.249302232386313,-0.315540985627104,-0.0101545151613926,-0.516285563258354,0.224428087378972,-0.148933116429483,-0.41991915759567,-0.0262757275732617,-0.401553673305413,0.768201184486777,0.842558303721979,0.818504711857866,0.580138830576548,1.00951103799353,0.732580808497357,0.978036860566675,0.91318022596729,0.686375216869533,0.906228522105574,-0.671093872655634,-0.535603506373316,-0.490728839171722,-0.643194277932376,-0.557406346962587,-0.653701942111252,-0.501477232023586,-0.580394337220657,-0.581515554722636,-0.652128555670126,-0.301803919047604,-0.630224196299134,-0.544735229160916,0.272738745704572,-0.592456794542789,-0.444651353665027,-0.755398642048314,-0.613729509008155,-0.0787590483147861,-0.345365638411841,0.449615187863592,0.717194123617974,0.87083261544702,1.01609971902851,0.643982563092983,0.43686807522529,0.71570588130629,0.876076641254895,1.03588418349903,0.9651739843633
"{ADM} / {VIPR1}",1.76850586960299,1.54721121105695,1.08040371925801,0.736308453365102,0.887039404704282,2.34661624763716,1.63773754915709,1.12374512802196,0.642110353528057,0.943317506331777,-0.61000628731026,-0.528730358811375,-0.494372623216157,-0.478339060254015,-0.0695713980766965,-0.622331722343852,-0.62747860961772,-0.616556381851409,-0.46573586814289,0.150710235196352,-0.4336109052264,-0.290840817924248,-0.186383316591247,-0.103124006964668,0.067143429713014,-0.32578354244336,-0.289491770677148,-0.270856591582846,0.179572655007247,-0.247873670236661,0.796333873888255,0.255354108140894,0.186656669535069,0.10818828082979,0.392784756028986,1.11673444701064,0.288932477138004,0.166743797308104,0.206807419726895,0.382418895358788,-0.669143714596977,-0.659228069255094,-0.662955152198227,-0.785053825233154,-0.685058291455979,-0.683596258577762,-0.69256893116855,-0.759876051889682,-0.759270202453441,-0.538680518477578,-0.531854624210023,-0.38871491425007,-0.410449300597213,-0.265634073506023,-0.134148395382764,-0.473371741100106,-0.509441293199607,-0.415337919696006,-0.239301682113704,-0.0866045969125104
"{APOC1} / {VLDLR}",-0.913138922235611,-0.554973029966785,-0.583311747144329,-0.0387440132382794,0.0337671830690817,-0.814183303410406,-0.632422552836063,-0.472221678814707,0.206647368297366,0.0906405144567068,-0.299913395132064,-0.76886174257819,0.477986475396655,0.573589590757926,-0.0584722139194235,-0.301582339866373,-0.407486249903402,0.438983397073103,0.629441681227477,0.453373515798153,0.55710192745983,0.947236003447364,0.874001180934748,0.63272542796436,0.499022492371379,0.598065045503907,1.14148376400269,0.94011969879594,0.842798337906558,-0.350010325262889,-0.976815245572993,-0.629306792763573,-0.282733535186225,-0.100070217760037,-0.768001802883962,-0.972266769283444,-0.604798746806025,0.375625222841617,0.0804045482308491,-0.826103124973405,-0.458284402026893,-0.70432071554109,-0.629357522130777,-0.611814946773078,-0.81505144968154,-0.359471083047645,-0.816743312515385,-0.713646573246646,-0.408842564522211,-0.426358271733485,0.133119007812208,1.13475970161838,1.03012725490943,0.930960567819386,0.361572150587216,0.343999485284841,0.860976912275453,1.21273191214231,0.432903515126141,0.465144707645867
"{APOE} / {LDLR}",0.553351975315332,0.593135232032423,0.872870847986135,0.750647084227545,0.202310542464204,0.603407661321066,0.622138287155816,0.536806847407646,1.16560647495417,0.512428361947357,-0.086577070539271,-0.159089194505646,1.58764447426711,1.67477048349228,0.651157151087065,-0.0841951668498604,-0.0020700960691733,1.44135395028001,0.841098718848999,0.504703596834033,-0.128651010357652,0.0190279720605998,-0.160340292315128,-0.208292046297862,-0.413330465616314,-0.137450029274117,0.336632363154247,-0.113849173500286,-0.0707780940793853,-0.571224238186463,-0.0479341901259727,-0.380581845140906,-0.214380771344586,-0.152160892742967,-0.39688868647118,-0.0999512838942103,-0.359550406210707,-0.139742828012735,-0.27010361373971,-0.418033877171851,-0.352574606561369,-0.626715320813153,-0.573031239634202,-0.680220949372061,-0.573294788266491,-0.488922932698822,-0.785403985659457,-0.596463430517605,-0.468291775797244,-0.233810250525452,-0.603682691035763,-0.0903028548157642,-0.0298722358550448,-0.378125865153526,-0.538610116872202,-0.613658418199368,-0.258428277033194,0.0282188625032736,-0.318491028003765,-0.67223484807883
"{APOE} / {LRP1}",0.0336418171295649,-0.190516404878974,0.179322889291448,0.377947670606547,0.106587767524791,-0.280134575191,-0.181779633517755,0.0818431254699012,0.943124264677595,0.314346212599562,0.958913080470864,0.254766378140369,0.570401171886411,1.30069117514691,0.713672310099024,1.04966363497141,0.599105240604992,0.477995471729777,0.645165636371742,0.672267476711187,0.73255324788013,0.553235834904869,0.285582206231088,0.01650707302197,0.02735757910167,0.805283770801679,0.822803617366484,0.219141658202878,0.377285482057277,-0.232242954389403,-0.708547667624071,-0.933756993769163,-0.667978662483846,-0.558015814760854,-0.664184344948796,-0.692313618533002,-0.841742021700209,-0.683406520458326,-0.559064805331098,-0.688530381150574,-0.338844789240573,-0.573178146023344,-0.62152616816854,-0.796463969834377,-0.708887518030229,-0.259993841596541,-0.572378502638251,-0.549467530188266,-0.650191512152855,-0.642017061664733,-0.0344484213449729,0.133586464199296,0.250320843639781,0.0558988339844709,-0.0675457586399064,-0.0281428826943921,0.00985833319734464,0.210327505179547,0.101161350060987,-0.155058622307504
