	D1_p1_rep1_auto	D4_p1_rep1_auto	D8_p1_rep1_auto	D11_p1_rep1_auto	D14_p1_rep1_auto	D1_p1_rep2_auto	D4_p1_rep2_auto	D8_p1_rep2_auto	D11_p1_rep2_auto	D14_p1_rep2_auto	D1_p2_rep1_auto	D4_p2_rep1_auto	D8_p2_rep1_auto	D11_p2_rep1_auto	D14_p2_rep1_auto	D1_p2_rep2_auto	D4_p2_rep2_auto	D8_p2_rep2_auto	D11_p2_rep2_auto	D14_p2_rep2_auto	D1_p3_rep1_auto	D4_p3_rep1_auto	D8_p3_rep1_auto	D11_p3_rep1_auto	D14_p3_rep1_auto	D1_p3_rep2_auto	D4_p3_rep2_auto	D8_p3_rep2_auto	D11_p3_rep2_auto	D14_p3_rep2_auto
DPM1	9.24455614074394	9.42308450215748	9.20911193526674	9.21642649547249	9.10811777505756	9.36666377080258	9.35960462257508	9.34232406177575	9.18316890732203	9.27187506566792	9.26201985464078	9.37287863513838	9.39213447223941	9.24651357778194	9.20171205065583	9.21530427632259	9.42072310538906	9.40716528672538	9.26290568674775	9.35503926373852	9.17714927971986	9.47003230984349	9.31781618422274	9.47849565715255	9.3635346240982	9.39858279573324	9.25774140559634	9.49119773323324	9.39547024552969	9.6927655861187
SCYL3	8.82603964699887	8.68623485191784	8.48931076355706	8.74058487279011	8.54158462143486	8.75127623109741	8.77306180105325	8.61849138043224	8.51502369005965	8.65477470780246	9.03778479505161	9.1644482633723	8.6619895889188	8.86366407192905	8.99909513948635	9.00482725817736	9.04678855557363	8.79613741629865	8.89219823619112	8.97238096616037	8.70318083630799	8.61424622444115	8.87436754877289	8.66550906462269	8.79703045741522	8.73686415701761	8.61851818238734	8.67155141532739	8.78272184513344	9.09795758620142
C1orf112	7.33820473932206	7.51747481114527	7.04499942404229	6.42087238931931	6.6144102497904	7.307856361148	7.66809470489115	7.29433093489641	6.28180953450904	6.44385716173917	6.54199173543693	6.23102049383119	7.1622802400664	6.32273817675509	6.69864334091891	6.24424219271295	6.503320640602	6.87848665451495	6.56566811271808	6.40170859236147	6.69340293657397	7.1596746703467	6.44283065064641	6.54385666397358	6.53182137272163	6.80359550948038	7.01027763484958	6.91849669302267	6.68145671787388	6.66326992535859
FGR	12.1300229445685	12.2931617578874	12.1215798077782	11.8572695539405	12.1696574489623	12.197423330347	12.3018775832138	12.2355124105226	11.8426463834807	12.286624322241	12.1598485404906	13.018776948439	12.6501962827308	12.7534348936463	12.9269118506809	12.2399985154448	13.1071583288381	12.6088879409666	12.9534253071797	12.8375039839519	11.1524247990775	11.3286999533329	11.307299324324	11.4676042366298	11.7710916804731	10.9667054207684	11.3181927343027	11.3330255248187	11.4254402515871	11.1075481843738
FUCA2	7.80554513139064	8.03737969165125	8.33577126034337	8.63537350477399	8.62899640940567	7.86222597087031	8.21758935604182	8.51007236537601	8.48955901833313	8.66436892582024	8.7784250165106	8.3668417140083	8.55016700704897	8.91745569783901	8.62694005381731	8.570135193332	8.50383622741943	8.49979529872048	8.82363359460885	8.7631590028603	9.22174234631825	9.32173035286242	9.32015645480808	9.34995108626776	9.4139244034227	9.18608570441044	9.38841680079683	9.38918547242845	9.41729746588503	9.24363286182896
GCLC	10.9980063237801	10.9640005363897	11.2077343149628	11.2414119071111	11.3699271128026	10.9584728524177	10.994586000843	11.2499268311303	11.2580897459027	11.2873011856243	10.5180840060779	10.4999634514519	11.0244303082201	10.8457012752535	10.7860411847629	10.4850673040973	10.3602251179214	10.8394795736049	10.8581340373168	10.7697001405249	10.8323816343195	11.0159978097403	11.0947982411346	11.2016815609635	10.9891911034102	10.9950933045415	10.9556884856537	11.0732939890706	11.1366483819424	11.2513986916
NFYA	10.0627393359475	10.0607735583759	9.85339002157584	9.80866877137731	9.89273214408275	10.0261922548658	10.0310364658667	9.78292814364699	9.91170434043398	9.81033971079442	10.0648514942431	10.5247783033903	10.2565013748688	9.93521452643141	9.88074017153794	10.1125982043385	10.502928273152	10.1239642104983	9.84600529187145	9.93034322510203	10.1502927013114	10.1988535472342	10.12788026559	10.2221038838872	10.1369213521988	10.2410239101037	10.1372207809511	9.99781820455917	10.267964604181	10.2406165633009
STPG1	6.47809260886083	5.89974234862457	5.78269934969953	6.17609861562482	6.20806259368384	6.52932429028384	6.28940140451432	5.65908328880245	6.28180953450904	6.1205006183378	6.76006398761927	7.45622179262939	6.59492392393562	6.72792026058403	6.74879039132311	6.88058771958588	7.31806155662366	7.01977766777877	6.54452176351882	6.81247389623479	6.99414888160724	6.89520552173733	6.8708456670589	6.84576301272573	7.43807327334765	7.452233757134	6.92847362135577	7.0108605217187	6.73805466527139	6.92210850313186
NIPAL3	9.87391249933703	9.40887872678899	9.85454431565541	9.90066898394143	10.1664632293371	9.68100363172593	9.35603018844667	9.65487676580246	9.8193337121365	9.96390971237206	9.96000773804634	9.91549899233819	9.78071832466426	10.0080978922725	9.9304730961698	9.9282517559656	9.76835216375864	9.80874677355159	9.82642755542016	9.7913755181963	9.83029560140789	9.70697418002051	10.0552827352426	10.0241878217263	9.99667962756519	9.9113648179116	9.90030196105511	9.99781820455917	10.0280424860469	10.0905716347582
LAS1L	9.91471293186268	10.2457958202812	9.94834941607567	10.0400215336614	10.0178421376191	9.96037951670179	10.2538722764774	9.92106711301117	10.0149700057268	10.1614646182849	9.95033957351698	9.90608552784793	10.3815627554619	9.89466431321364	9.69924722576849	9.86983454220725	9.83907358258263	10.3573102104807	9.94413941253612	9.72274218465827	9.71023932340656	9.55450662984112	9.60563323896301	9.44517152399152	9.54302612720971	9.75145518077412	9.60575783159371	9.72536225749712	9.38664604461319	9.14556870646824
