"","D1_p1_rep1_auto","D4_p1_rep1_auto","D8_p1_rep1_auto","D11_p1_rep1_auto","D14_p1_rep1_auto","D1_p1_rep2_auto","D4_p1_rep2_auto","D8_p1_rep2_auto","D11_p1_rep2_auto","D14_p1_rep2_auto","D1_p2_rep1_auto","D4_p2_rep1_auto","D8_p2_rep1_auto","D11_p2_rep1_auto","D14_p2_rep1_auto","D1_p2_rep2_auto","D4_p2_rep2_auto","D8_p2_rep2_auto","D11_p2_rep2_auto","D14_p2_rep2_auto","D1_p3_rep1_auto","D4_p3_rep1_auto","D8_p3_rep1_auto","D11_p3_rep1_auto","D14_p3_rep1_auto","D1_p3_rep2_auto","D4_p3_rep2_auto","D8_p3_rep2_auto","D11_p3_rep2_auto","D14_p3_rep2_auto"
"ADNP",4.30432313469231,4.16378255317074,4.37598458840322,4.53718813470657,4.11575173394546,4.1659869127512,4.32654964396155,4.32737155010162,4.18201163927918,3.90327577511769,2.99669163303256,2.84892252116294,3.27329936858876,3.20143815390146,3.60847773240617,3.36154773107397,2.74265595615948,3.0514223918067,3.25435629896457,3.09883109111622,3.45526728725414,3.53153286388259,3.91494914626193,4.16191764222802,3.86653772518978,3.35917018427169,3.6892889356412,3.99088723410942,4.40222418824607,3.48149195475323
"AHR",-4.61527929846619,-4.6282201028307,-5.00542799032443,-4.43946704183783,-4.25545610718878,-5.06279055957565,-4.69499237001436,-4.60475835400681,-4.22841148747476,-4.23405566825968,-2.87477776585457,-3.61794174175965,-3.35632853811862,-3.48028595239784,-3.86465421561695,-3.14999735100817,-3.26943199555276,-3.13584020326547,-3.66506057136681,-3.65788143349409,-3.60590694640852,-4.03100146974375,-4.23236634149739,-4.24609935982122,-3.80696649135072,-3.1339083368917,-3.67259495716802,-4.0407188086197,-3.9718843954584,-4.25254126509499
"AR",5.21345572179609,5.48097652308113,5.84822461733659,5.78327073832742,5.74868130366444,5.27131679959496,5.32950682028229,5.5794183584817,5.44563562711962,5.22061268936957,4.49404152913186,4.50376097755191,5.31474888708168,5.07684132760908,5.45781348955378,4.75006796852821,4.41700214408759,5.17975200464197,4.81837004817852,5.01005518312238,4.15886331833584,4.70937912932292,5.16465789078952,5.12107665577585,4.35383875790867,4.13963103708764,4.65245000565928,4.97074921731052,4.99571040418882,4.81753937295629
"ARID2",5.78373015845382,5.66026477760959,5.81115530024303,5.85386621288594,5.77825160510934,5.84118971765199,5.65452477399801,5.64095172773473,5.90455515136567,5.55851286595177,5.24322171103087,5.02783754120593,5.18065608201821,4.88322819553063,5.44915077130824,5.42174339431235,5.10403977538337,5.18237521199177,4.97281646068574,5.20703045499873,5.17235105848416,5.78013154051827,6.11055981467706,5.93427793642426,5.66369901503762,5.63488616010771,5.82067424803004,5.93312007187338,6.24318805083379,5.59726943961883
"ARID3A",7.74754136220692,6.9175042366785,7.5032268178034,7.76902846618653,7.45004720752456,7.25286782228967,6.80466104927039,6.97333267170372,7.46354040690229,6.78299346977508,6.43833401881609,7.09510772342305,6.51152273641298,6.82484565212447,7.28467125660486,7.00140986851185,6.92309401557436,6.36701302464598,6.50322123441391,6.33091233093289,5.8600183446641,6.13665939934647,6.74385332829911,6.74094914875261,5.97375074080472,5.93432586019269,6.04940887988665,6.27607681966668,6.5641739844402,6.12836432188705
"ARNT",4.27192029468044,-4.37783141114355,-4.34842032665662,-4.04524232267385,-4.07686462886835,-4.59735693468304,-4.34004234056986,-4.16599370114542,-4.01029088024924,-3.80066351797104,-2.98196712984671,-3.39065024491075,-3.14942212102265,-3.44828639814071,-3.53492942138877,-3.16179065686176,-3.22687905345802,-3.00571648961108,-3.41135403412942,-3.38756789607918,-2.93510205077858,-3.54205445099407,-3.37866360180229,-3.52754469769966,-3.16700313536666,-2.66908262375782,-2.96458906361859,-3.26958252159481,-3.39667338803844,-3.84926722914356
"ASCL1",3.9340589811299,3.29168338446246,3.41834181701145,2.98815753241772,2.92489966296421,3.93092256016042,3.10100043486328,3.26175655096585,2.86121963823483,2.64654634683723,3.10284470884461,3.03585718959161,-2.73210711787196,-2.43814333333027,3.09359290938504,3.40668989637856,2.8169299658539,-2.35156644618538,2.43224745478529,-2.53877589134812,2.47236848737431,-2.57539917974767,-2.55238528295484,-2.87565313179714,-2.3519453004405,1.98376599752365,-2.59534531937018,-2.37168762627469,-2.61683967056537,-2.46027488564109
"ATF1",5.71925362827073,5.58783816043771,6.0992358716922,6.15327591061752,6.09400565539019,5.76599568793886,5.54548402458641,5.80085849379178,5.98194918428936,5.55364863306291,4.88666685929966,4.98716328718746,5.05434668536874,5.33278639434749,5.50447617614736,5.4537573454323,4.87749273112615,4.89896499145883,5.04368309612121,5.08476009657156,5.0406611712532,5.3966956734468,5.60947069202629,5.67850321296571,5.21805722940517,5.03925385577273,5.50685507001672,5.2454623246259,5.87413166283925,5.22515514226852
"ATF2",13.1932300031343,13.3554962455685,13.3450793892189,12.8069136716746,12.6283711169015,12.8779739239134,13.1937969472846,13.1098830369328,12.5029504486845,12.1497366008815,12.1256289843127,13.0473247342653,12.8900469719144,12.8523619073757,13.4280007467902,12.6752361390215,12.6346864352642,12.7612825507251,12.6674282475845,12.7714555338831,11.5672723411602,12.0655734367396,12.2676824294233,12.5517263343033,11.4746435212026,11.6572209969302,11.9028914841037,11.988906537839,12.2156632960053,12.7298910999753
"ATF3",5.18597567226967,5.01298935219599,6.14072339025402,6.09487468563198,5.84149040221253,5.2207932751798,4.8770835930476,5.69658661664743,5.91093332817626,5.28930565080839,3.70867804047107,4.55466835181388,4.67090574631824,4.87348225663574,5.2292806367867,4.34165369081319,4.31792265236437,4.56613985498388,4.78364320611378,4.40323247397262,3.35814536764118,4.24908126924843,5.0249233998486,5.16712531028847,4.3747250803369,3.07230913711416,4.32919297906132,4.70012986325126,4.93859016431972,4.60692262951323
"ATF4",3.69213082377581,4.87236941727231,4.94450823880515,5.08203090725351,4.56526580391213,3.75068657661723,4.71883717209516,4.89495562224206,4.57515361620179,4.12012866444644,3.36528546528397,3.90903281689775,4.58273326503864,4.6149520247536,4.03081299313728,3.39220357037957,3.68173467909763,5.19243102153508,4.49413372201257,3.93921114866004,3.75618998657457,4.09661898023292,4.68428951567503,4.78941668781817,4.52475387474004,3.65130860114351,4.24448180557801,5.09327388927842,4.70925727873278,4.81819676763445
"ATF5",-0.862148691215758,1.12132009584661,1.44588760289249,0.931821311906048,1.06411977161328,-0.711435106374331,1.23198748347001,1.29968930421157,1.05502261864619,0.986478359761131,0.843588352415135,1.14811570042524,1.35200615187677,1.21658248221516,1.27876960243,0.695371423319527,1.00278395771053,1.42186370996478,1.18415344338787,1.01812684011224,1.14463611105201,1.16904026801011,1.34571726689331,1.21909938214186,0.993204351949844,1.35724174852693,1.31094770083971,1.26906687275763,1.26556934181886,1.14167015103929
"ATF6",2.87637487847064,3.11004150078392,3.36625479023354,3.69103625818057,3.48724090434669,2.91483092829347,3.1233193123922,3.38224377851642,3.74161819947126,3.42966124945191,2.79386643549358,2.65288817893703,3.12121405591307,3.01830134581507,2.71597018500946,2.56336493779551,2.589455257176,3.11302670257622,3.02719897722077,2.92322552063216,3.66231780715515,3.56316238918597,3.82489568890801,3.73224426294685,3.88028405592801,3.55619442913616,3.60957111377641,3.88615903989455,3.84315024845649,3.86405241010671
"ATF7",5.95329262118336,5.59897668131837,6.29795113183171,6.11397100476205,5.89500785457091,5.64327444112083,5.45236978948706,6.0875854145078,6.24143897643515,5.41456081618409,4.73838362314587,5.05921459557849,4.77232697781452,5.13723012431971,5.4908302649992,5.41021373605795,4.92811191086238,4.66677878548878,5.01266043352476,4.90585646427056,4.63815501288778,5.22329889148075,5.95475549244401,5.97937163756942,5.29260397645224,4.54792681121815,5.55690173359339,5.54135455823646,6.01358900510014,5.08850327541977
"BACH1",4.19198883416427,4.48256095415852,4.49237407512299,4.40962163170502,4.22512401263847,4.25352743954805,4.21063578997023,3.88284512490635,4.14000185196888,3.80150759572591,3.34350543386128,3.69607428910822,3.94001842688445,3.56964783035044,3.92436154984305,3.81087361386507,3.70900913605242,3.95004548696874,3.72905959068658,3.69779211567368,3.56635242503035,4.10259749265506,4.33084005201124,4.00511291407783,3.77983155385867,3.621911853064,4.2137491787017,4.05725778920237,4.10168821512341,3.42440289411985
"BACH2",9.46105623675553,8.74730386412496,9.52422375987331,9.40521115898211,9.33165788682391,9.285091776197,8.70762670548815,9.24211670882147,9.19897315269657,8.87897417216018,7.93957979294908,8.31922558948513,7.99202597162141,8.41459673824538,8.815161256046,8.42760664699758,8.19477487530687,7.8225852598159,8.17995375376618,8.0880855774162,7.44152562210226,7.86083454394352,8.35966409676416,8.36163288038421,7.85659113502421,7.59006333112485,7.76205396403492,7.86621968415883,8.39648276576175,8.40870424882145
