"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05200","Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","38/202","414/5972",0.0917874396135266,2.71363658104941,6.76193415647307,8.5589033603833e-09,2.14828474345621e-06,1.75682753186815e-06,"5925/6688/4791/3600/1387/3574/1499/894/999/5881/2322/1027/2252/6502/6775/7471/3718/6778/1147/11040/3560/25/613/1612/6667/1647/4149/4853/7849/51176/2944/4233/51561/3592/405/5734/5733/4851",38
"hsa05340","Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","10/202","33/5972",0.303030303030303,8.95889588958896,8.57757343310958,7.36663625515158e-08,9.24512850021524e-06,7.56049510397136e-06,"973/930/958/29760/29851/3718/925/57379/695/4261",10
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","22/202","180/5972",0.122222222222222,3.61342134213421,6.6610504517277,1.25482554538482e-07,1.0498707063053e-05,8.58564846842248e-06,"5925/930/4791/958/29760/3133/7431/894/5971/1027/6502/7128/3718/1147/960/864/695/9020/1647/2208/3661/567",22
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","15/202","94/5972",0.159574468085106,4.71771645249631,6.7973043047366,4.54005352635486e-07,2.47027051739716e-05,2.02014154284943e-05,"4791/958/29760/7099/5971/7128/1147/4049/695/9020/1647/5588/7412/10673/6351",15
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","19/202","149/5972",0.12751677852349,3.76995149179347,6.40624017279767,4.92085760437681e-07,2.47027051739716e-05,2.02014154284943e-05,"5079/6688/958/894/2322/1027/3560/6667/4353/1647/4149/3684/7849/604/3398/4066/4613/4233/4208",19
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","9/202","40/5972",0.225,6.6519801980198,6.71029124010519,5.3341424072808e-06,0.000223144957371247,0.000182483819196449,"958/7099/7057/6403/7412/4233/3592/1378/6382",9
"hsa04658","Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","12/202","82/5972",0.146341463414634,4.32649118570394,5.67475308408111,1.66949664845833e-05,0.000556305453644686,0.000454936311430966,"30009/2625/6775/3718/6778/1147/864/3560/4853/5588/3592/4851",12
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","20/202","206/5972",0.0970873786407767,2.87032586753821,5.11122365782217,1.77308511121812e-05,0.000556305453644686,0.000454936311430966,"5925/6688/4791/3600/958/1387/3133/894/5971/1959/3718/2224/8850/1147/4049/3560/706/9020/9133/567",20
"hsa04630","Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","13/202","108/5972",0.12037037037037,3.55867253392006,5.02043002089005,6.2526331441209e-05,0.00171510782820093,0.00140258346193827,"3600/1387/3574/894/6775/3718/6778/1154/3560/8651/9021/51561/3592",13
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","11/202","80/5972",0.1375,4.06509900990099,5.16380038966631,6.83309891713517e-05,0.00171510782820093,0.00140258346193827,"930/3574/2322/925/960/3684/914/3690/2208/931/1378",11
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","13/202","110/5972",0.118181818181818,3.49396939693969,4.93941901504345,7.5851139239561e-05,0.00171990662430665,0.00140650782864247,"958/3133/999/29851/925/4267/5133/3684/6403/914/940/7412/6382",13
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","10/202","68/5972",0.147058823529412,4.34769947582994,5.19444389681439,8.22266115206366e-05,0.00171990662430665,0.00140650782864247,"8743/2833/10563/4049/3560/6348/1233/4283/6367/6351",10
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","17/202","180/5972",0.0944444444444444,2.79218921892189,4.56790591467823,0.000109682502391498,0.00211771600771277,0.00173182898512892,"3600/958/3574/8743/2833/10563/4049/3560/6348/1233/51561/3592/4283/10673/9235/6367/6351",17
"hsa04672","Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","7/202","39/5972",0.179487179487179,5.30642294998731,5.04804391498651,0.000279490966895609,0.00501087376362841,0.00409779989057472,"3600/958/29851/57379/9020/940/10673",7
"hsa04662","Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","10/202","80/5972",0.125,3.69554455445545,4.54120861208641,0.000327042645018857,0.00514604119339667,0.00420833731479283,"973/640/930/29760/5881/1147/3635/695/971/974",10
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","13/202","127/5972",0.102362204724409,3.02627270601076,4.31835966698088,0.000328034498383852,0.00514604119339667,0.00420833731479283,"6688/4791/54/29760/4688/5971/1147/8651/9021/2274/695/9020/3690",13
"hsa05206","Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","14/202","146/5972",0.0958904109589041,2.83493828834938,4.19975508263723,0.000383486664291403,0.00566206780806718,0.00463033433664542,"1387/7431/894/1027/960/8651/25/3667/7057/4853/3690/4233/1786/4851",14
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","15/202","175/5972",0.0857142857142857,2.53408769448373,3.85370861791122,0.000791239683219338,0.0110333978048919,0.0090229086682907,"5925/4791/1387/3133/7529/894/1027/1959/6502/3718/8850/3661/27044/1233/983",15
"hsa04520","Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","9/202","78/5972",0.115384615384615,3.41127189642041,4.01051120227387,0.00116963929138329,0.0154515506388004,0.0126359923445841,"1387/1499/4633/999/5881/5795/51176/6615/4233",9
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","7/202","52/5972",0.134615384615385,3.97981721249048,4.03777167059716,0.00167608784225164,0.0210349024202581,0.0172019541704774,"30009/7099/2625/6775/6778/51561/3592",7
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","11/202","117/5972",0.094017094017094,2.77955487856478,3.63707436071936,0.00189753784550632,0.0226800952010517,0.0185473623996858,"891/1387/894/8743/1027/6502/1147/3667/1647/604/9133",11
"hsa04620","Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","9/202","89/5972",0.101123595505618,2.98965402158193,3.53821693572049,0.00296064750501568,0.0337782965344971,0.0276232661951224,"958/7099/1147/3663/6348/3661/3592/4283/6351",9
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","9/202","93/5972",0.0967741935483871,2.86106675183647,3.38425444802909,0.00398917978520766,0.0435340924385706,0.0356013756574597,"4791/5971/1959/1147/9020/3659/51561/3592/6367",9
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","9/202","96/5972",0.09375,2.77165841584158,3.27405543380148,0.00492959935888757,0.0489374173196423,0.0400201148137146,"30009/3662/2625/3718/6778/1147/3560/5588/51561",9
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","10/202","114/5972",0.087719298245614,2.59336459961786,3.2136917640428,0.00499305038916771,0.0489374173196423,0.0400201148137146,"5925/4791/1499/2252/7471/6667/1647/4853/51176/4851",10
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","7/202","63/5972",0.111111111111111,3.28492849284928,3.41112164186748,0.00506921454307051,0.0489374173196423,0.0400201148137146,"7099/712/3659/3684/3661/51561/3592",7
"hsa05216","Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","5/202","34/5972",0.147058823529412,4.34769947582994,3.66249583877061,0.00527063258551541,0.0489973621838654,0.0400691366150294,"1499/999/1647/7849/51176",5
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","7/202","64/5972",0.109375,3.23360148514851,3.36114112070639,0.00553259883675623,0.0495957967152076,0.0405585253070476,"6688/2322/1147/11040/4353/3684/51176",7
