"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","44/277","156/5972",0.282051282051282,6.08090345274461,14.1810242179313,1.12898626561776e-23,3.04826291716794e-21,1.79449395903454e-21,"5933/5925/898/595/890/1869/1027/4193/5934/8881/1647/1871/1031/990/5111/472/896/983/1017/1111/9134/891/6502/1019/10926/4609/9232/1032/4174/5347/7029/7040/9212/11200/1387/993/8318/81620/26271/4175/4176/7042/4999/4171",44
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","36/277","117/5972",0.307692307692308,6.63371285753957,13.5719029339455,6.94300850241042e-21,8.65320385531984e-19,5.0940888193111e-19,"595/1027/4193/5934/207/604/1647/472/1017/5295/10018/891/6502/2308/2309/664/10733/3643/6648/1032/23411/5347/7040/1387/5599/8743/9140/23710/11345/3480/5594/1263/901/114907/3586/7042",36
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","29/277","72/5972",0.402777777777778,8.6837144003209,14.465318894208,9.61467095035538e-21,8.65320385531984e-19,5.0940888193111e-19,"898/595/5054/4193/596/7161/1647/472/896/983/1017/1111/27113/10572/9134/891/1643/1019/5366/6477/7057/836/9538/11200/6241/901/581/637/841",29
"hsa05206","Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","36/277","146/5972",0.246575342465753,5.3160575639187,11.6438062952309,2.29622162619354e-17,1.54994959768064e-15,9.12445961987432e-16,"898/595/5328/1869/1027/4193/596/4170/1871/472/7422/9134/5295/10018/5743/648/672/4318/3162/9493/4609/11186/7057/23411/836/1788/3925/5243/5155/1387/1786/993/5594/6935/7042/2146",36
"hsa05200","Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","61/277","414/5972",0.147342995169082,3.17665114494498,10.1238635915649,6.50331106094506e-17,3.51178797291033e-15,2.06736835832148e-15,"5925/898/595/890/1869/1027/4193/207/7015/596/1647/1871/896/7422/1017/27113/1499/332/9134/5295/10018/5743/54361/6502/5888/8202/1643/4318/2308/1019/5366/23604/6667/3162/2260/4609/3091/405/11186/3570/836/8321/5155/7040/5371/840/1387/51561/5599/10125/5970/8313/3480/3725/5594/2247/7042/581/637/7186/841",61
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","33/277","146/5972",0.226027397260274,4.87305276692547,10.4486734760653,8.66308628576363e-15,3.89838882859363e-13,2.29495794587773e-13,"5933/5925/898/595/890/5054/1869/4193/5934/207/1647/1871/472/896/983/1017/1111/9134/5295/891/4605/2308/2309/1019/4609/23411/2305/7040/11200/5970/993/5594/7042",33
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","24/277","82/5972",0.292682926829268,6.3101171083913,10.6775086949479,1.06538189019514e-13,4.10933014789552e-12,2.41913782585662e-12,"5925/898/595/5328/1869/1027/4193/207/596/1871/1017/1499/9134/5295/4318/2308/2260/1385/5155/1387/5970/3480/5594/6935",24
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","35/277","180/5972",0.194444444444444,4.19213798636181,9.59003491156497,1.60067007402967e-13,5.40226149985015e-12,3.18027869971685e-12,"5925/898/595/890/1869/1027/4193/207/596/1647/1871/896/1017/7124/9134/5295/10018/6502/1643/1019/5610/4609/3661/6892/836/1380/5599/5717/5970/3725/581/637/7186/811/841",35
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","30/277","141/5972",0.212765957446809,4.58714186957524,9.50611676880199,8.53500708436696e-13,2.56050212531009e-11,1.50735212835019e-11,"5925/898/890/1869/207/596/1871/5111/1017/7124/332/9134/5295/1643/4318/4609/3661/1385/7098/836/7040/1387/5599/5970/3725/5594/7042/581/637/841",30
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","35/277","206/5972",0.169902912621359,3.66303319196663,8.57806685296553,9.89770008559656e-12,2.42904154586677e-10,1.42996207963307e-10,"5925/898/595/890/1869/207/7015/8881/1871/1031/472/896/1017/1111/7124/9134/5295/8829/1019/6929/1958/4609/9232/1385/7040/11200/1387/5599/5970/3725/5594/7042/581/811/6722",35
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","27/277","126/5972",0.214285714285714,4.61990716864363,9.05669737592179,1.06594915310837e-11,2.42904154586677e-10,1.42996207963307e-10,"8739/207/596/4170/1647/472/27113/7124/332/5295/10018/56616/5366/1649/836/4217/840/5599/8743/5970/3725/5594/581/637/7186/835/841",27
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","22/277","83/5972",0.265060240963855,5.71458396763951,9.5384586195204,1.07957402038523e-11,2.42904154586677e-10,1.42996207963307e-10,"5925/898/595/1869/1027/207/596/1647/1871/1017/9134/5295/5743/6502/1643/1019/4609/836/2272/5970/581/7186",22
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","31/277","166/5972",0.186746987951807,4.02618415901875,8.72021991944463,1.32926786184564e-11,2.7607870976794e-10,1.62525868128495e-10,"5925/595/1869/207/1871/7422/1499/5295/5743/1019/5610/4609/3661/1385/3091/285/7098/836/5155/1387/84557/5599/5970/3725/81631/5594/2247/581/637/7186/841",31
"hsa05226","Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","25/277","115/5972",0.217391304347826,4.68686234500078,8.80409635346118,4.6429702859417e-11,8.95429983717327e-10,5.27134220433982e-10,"5925/898/595/1869/1027/207/7015/596/1647/1871/1017/1499/9134/5295/54361/1643/4609/5243/8321/7040/8313/5594/2247/7042/581",25
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","31/277","175/5972",0.177142857142857,3.81912325941207,8.34733791462136,5.53383279692228e-11,9.9608990344601e-10,5.8639210690194e-10,"5933/5925/898/595/890/1027/4193/5934/896/983/1017/1111/9134/5295/6502/1019/5366/5610/3661/1385/836/2968/8970/1387/5970/3725/5594/581/7186/6722/841",31
"hsa05210","Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","20/277","81/5972",0.246913580246914,5.32334982395151,8.63942685150683,3.91898095694763e-10,6.29666634206815e-09,3.70680942554499e-09,"595/207/596/1647/27113/1499/332/5295/10018/1643/5366/4609/836/7040/5599/8313/3725/5594/7042/581",20
"hsa01524","Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","18/277","65/5972",0.276923076923077,5.97034157178562,8.88537955379175,3.96456769685772e-10,6.29666634206815e-09,3.70680942554499e-09,"7155/4193/207/596/472/27113/332/5295/672/5366/836/4217/2067/7153/5594/581/637/841",18
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","27/277","149/5972",0.181208053691275,3.90676713589998,7.92403776114345,6.1773777865603e-10,9.26606667984046e-09,5.45487746064682e-09,"890/5328/1027/4193/604/1647/1031/4613/472/648/1643/4318/2308/6929/6667/4609/1649/4353/4211/5371/2118/2321/7030/5970/3480/6935/581",27
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","37/277","267/5972",0.138576779026217,2.98765532254357,7.32799962119378,1.10166673619722e-09,1.56552641459605e-08,9.21615939976623e-09,"5933/5925/898/595/890/1869/1027/4193/5934/207/7015/472/896/7422/1017/1499/7124/9134/5295/5743/54361/2308/1019/5610/3661/1385/7057/7098/836/8321/8515/1387/5970/8313/5594/581/841",37
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","23/277","114/5972",0.201754385964912,4.34973715878143,7.96351915155417,1.38600111163811e-09,1.87110150071144e-08,1.10150614661765e-08,"5925/595/1869/207/1647/1871/1499/5295/54361/8202/672/1643/1019/6667/2260/4609/8321/8313/3480/3725/5594/2247/581",23
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","20/277","87/5972",0.229885057471264,4.95622224988589,8.19754160904871,1.54016853155515e-09,1.98021668342805e-08,1.16574159531242e-08,"595/5054/1027/207/596/7422/7124/5295/2308/1019/1958/836/7040/3553/5599/5970/3725/5594/7042/581",20
"hsa05218","Human Diseases","Cancer: specific types","hsa05218","Melanoma","16/277","55/5972",0.290909090909091,6.27187397440105,8.66187946150835,1.73319720558459e-09,2.12710566139927e-08,1.25221424901088e-08,"5925/595/1869/4193/207/1647/1871/5295/1643/1019/2260/5155/3480/5594/2247/581",16
"hsa05220","Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","18/277","74/5972",0.243243243243243,5.24421894819007,8.10173085631994,3.95828440464555e-09,4.64668169241e-08,2.73547343295871e-08,"5925/595/1869/1027/4193/207/1647/1871/5295/1643/1019/4609/7040/5970/9846/5594/7042/581",18
"hsa04215","Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","12/277","31/5972",0.387096774193548,8.34563875625946,9.04268064622295,5.01534717949096e-09,5.64226557692734e-08,3.32156764957516e-08,"596/27113/332/10018/56616/5366/836/840/5599/581/637/841",12
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","13/277","38/5972",0.342105263157895,7.37564126923808,8.69477716997468,6.63877380017333e-09,7.1698757041872e-08,4.22086250032073e-08,"5925/595/1869/4193/1871/7422/4318/1019/23604/4609/11186/7057/5594",13
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","19/277","87/5972",0.218390804597701,4.70841113739159,7.68406138029886,9.99730406135903e-09,1.03818157560267e-07,6.11171219945431e-08,"5925/595/1869/1027/4193/207/596/1871/1031/5295/8202/4318/1019/6667/5599/3480/3725/5594/581",19
"hsa05163","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","28/277","184/5972",0.152173913043478,3.28080364150055,6.93025322930555,1.74811136481005e-08,1.70614397798012e-07,1.00439664980506e-07,"5925/595/1869/4193/207/1871/7422/1499/7124/5295/5743/1019/6667/4609/3661/1385/6892/3570/836/6348/3553/5970/5594/581/637/7186/811/841",28
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","22/277","119/5972",0.184873949579832,3.98580226314352,7.25540763077124,1.76933449568308e-08,1.70614397798012e-07,1.00439664980506e-07,"898/595/1027/207/596/7161/896/1017/27113/9134/5295/1019/5610/3661/836/3553/5599/5970/3725/581/637/841",22
"hsa05212","Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","17/277","73/5972",0.232876712328767,5.02072103258988,7.62241744882753,2.20442432140048e-08,2.05239505785562e-07,1.20823256817231e-07,"5925/595/1869/207/1647/1871/7422/5295/5888/1643/1019/7040/5599/5970/5594/7042/581",17
"hsa03030","Genetic Information Processing","Replication and repair","hsa03030","DNA replication","12/277","35/5972",0.342857142857143,7.39185146982981,8.36360913246702,2.50890392934337e-08,2.25801353640903e-07,1.32927892396789e-07,"6118/5111/54107/4174/4175/4176/5422/5424/5427/23649/4171/5983",12
"hsa05160","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","21/277","122/5972",0.172131147540984,3.71107297153341,6.67205696318187,1.37502941027698e-07,1.19760626056382e-06,7.05023568597027e-07,"5925/595/1869/207/1871/1017/1499/7124/5295/1019/5610/4609/3661/7098/836/5970/5594/581/637/7186/841",21
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","32/277","256/5972",0.125,2.69494584837545,6.11288542851239,1.95970503380177e-07,1.65350112227024e-06,9.7340611876338e-07,"898/595/1027/4193/5934/207/596/4170/896/7422/1017/9134/5295/10018/672/2309/1019/2260/4609/3643/1385/285/7057/3570/5155/8515/2321/4602/5970/3480/5594/2247",32
"hsa04137","Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","18/277","100/5972",0.18,3.88072202166065,6.40655981135533,5.5843039389616e-07,4.56897595005949e-06,2.68972853200383e-06,"1869/2309/664/6667/3091/6477/10370/84557/5599/8408/7030/5970/79065/23710/11345/3725/81631/7186",18
"hsa04136","Cellular Processes","Transport and catabolism","hsa04136","Autophagy - other","10/277","31/5972",0.32258064516129,6.95469896354955,7.330396015716,7.31434938412249e-07,5.80845392268551e-06,3.41940172446593e-06,"9474/83734/9140/115201/23192/84971/10533/79065/23710/11345",10
"hsa05214","Human Diseases","Cancer: specific types","hsa05214","Glioma","14/277","64/5972",0.21875,4.71615523465704,6.59143763026576,9.08162274043471e-07,6.9487487599774e-06,4.09068640450911e-06,"5925/595/1869/4193/207/1647/1871/5295/1643/1019/5155/3480/5594/581",14
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","17/277","93/5972",0.182795698924731,3.94099607934475,6.30377561131473,9.26499834663653e-07,6.9487487599774e-06,4.09068640450911e-06,"5054/1027/207/596/7422/5295/3162/3643/3091/285/405/3570/1387/2321/5970/3480/5594",17
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","14/277","66/5972",0.212121212121212,4.57324143966743,6.43730615325466,1.35089978672096e-06,9.85791736255838e-06,5.80329638107725e-06,"5925/595/1869/207/1647/1871/5295/1643/2309/1019/11186/2272/5594/581",14
"hsa04934","Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","19/277","121/5972",0.15702479338843,3.38538652027329,5.84592114301303,2.36255112993287e-06,1.67865475021546e-05,9.88213907534248e-06,"5925/898/595/1869/1027/1871/1031/1017/1499/9134/54361/1019/6667/1385/196/405/8321/8313/5594",19
"hsa05207","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","20/277","134/5972",0.149253731343284,3.21784578910502,5.7262229777935,2.8798192732729e-06,1.96798339144172e-05,1.15853993024444e-05,"5925/595/1869/207/596/604/990/896/7422/332/5295/4609/1385/196/405/5970/993/3725/5594/2247",20
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","21/277","146/5972",0.143835616438356,3.10103357895257,5.66814219940284,2.97787809384293e-06,1.96798339144172e-05,1.15853993024444e-05,"5925/595/1869/207/7015/1647/1871/1499/5295/54361/1643/1019/3162/4609/8321/7040/8313/3480/5594/7042/581",21
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","22/277","158/5972",0.139240506329114,3.00196499565873,5.62424285477369,2.98841922404113e-06,1.96798339144172e-05,1.15853993024444e-05,"207/596/5295/664/23604/3091/9474/84557/5599/8408/83734/9140/115201/23192/84971/10533/79065/23710/11345/3480/81631/5594",22
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","28/277","235/5972",0.119148936170213,2.56879944696213,5.41097453001838,3.16042016261362e-06,2.0316986759659e-05,1.19604873321969e-05,"207/1647/7422/7124/1846/1843/2260/4609/3643/285/1649/836/3925/5155/7040/4217/2321/3553/5599/10125/5970/3480/3725/5594/2247/7042/7186/6722",28
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","23/277","172/5972",0.133720930232558,2.88296532616909,5.52597741212016,3.58766842409269e-06,2.25272203373262e-05,1.32616384831823e-05,"595/5328/4193/207/7422/1499/7124/5295/54361/4318/2260/4609/3091/7057/836/8321/29102/7040/857/3480/5594/2247/7042",23
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","17/277","105/5972",0.161904761904762,3.49059652741963,5.67814579599644,5.31277310755575e-06,3.26011077054557e-05,1.91920751014574e-05,"207/7124/5295/5743/4318/1385/4323/836/4217/840/3553/5599/5970/3725/5594/7186/841",17
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","21/277","152/5972",0.138157894736842,2.97862435873076,5.44929361534885,5.73466552567903e-06,3.44079931540742e-05,2.02557776462581e-05,"972/207/596/7124/4800/1385/836/7040/1594/1387/3553/51561/5599/5970/5594/1263/3586/7042/581/637/841",21
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","23/277","179/5972",0.128491620111732,2.77022366536918,5.30297341008942,7.1189755664059e-06,4.17852913680346e-05,2.4598748524652e-05,"207/596/7124/5295/4318/3309/3661/1649/6648/836/4217/840/6348/3553/5599/8743/5970/3725/5594/581/637/7186/841",23
"hsa04932","Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","19/277","136/5972",0.139705882352941,3.0119983011255,5.23426827675624,1.37456460714773e-05,7.89643497723162e-05,4.64858355384785e-05,"207/7124/5295/10018/3643/1649/3570/836/7040/4217/840/3553/5599/5970/3725/581/637/7186/841",19
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","15/277","91/5972",0.164835164835165,3.55377474511049,5.41370080399573,1.53666628276462e-05,8.64374784055101e-05,5.08852212055829e-05,"5054/207/7124/5295/7040/6348/3553/5599/5970/3725/5594/3586/7042/811/841",15
"hsa05213","Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","11/277","54/5972",0.203703703703704,4.39176360475999,5.52142949769576,2.82199598688085e-05,0.000155497738052618,9.15405787366292e-05,"595/207/1647/1499/5295/1643/2309/4609/8313/5594/581",11
"hsa05211","Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","12/277","65/5972",0.184615384615385,3.98022771452374,5.32769308061047,3.46638966037863e-05,0.000187185041660446,0.000110194702887826,"207/7422/5295/3091/405/5155/7040/1387/7030/3725/5594/7042",12
"hsa04211","Organismal Systems","Aging","hsa04211","Longevity regulating pathway","13/277","76/5972",0.171052631578947,3.68782063461904,5.20049757691188,3.81998845526219e-05,0.000202234682925646,0.000119054335757398,"207/5295/2308/2309/3643/1385/6648/23411/9474/8408/5970/3480/581",13
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","18/277","137/5972",0.131386861313869,2.83264381143113,4.78557882403898,5.38433013617916e-05,0.000279570987840072,0.000164581751126124,"207/896/7124/5295/1019/5610/3661/7098/836/5371/1387/3553/8743/5970/5594/581/637/841",18
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","12/277","69/5972",0.173913043478261,3.74948987600063,5.06590258864876,6.42423133801403e-05,0.000327272162502601,0.000192663144397243,"207/596/7422/5295/10018/2309/3570/5155/3480/5594/2247/581",12
"hsa03420","Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","11/277","60/5972",0.183333333333333,3.95258724428399,5.06906321932969,7.88111713578726e-05,0.000394055856789363,0.000231978301657676,"6118/5111/54107/1643/2073/7508/2968/2067/5424/5427/5983",11
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","14/277","93/5972",0.150537634408602,3.24552618298979,4.81309488520416,8.35768299443032e-05,0.000410286256090215,0.000241533039647651,"4193/207/7124/5295/5743/3553/51561/5599/5970/3725/5594/1263/3586/841",14
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","16/277","117/5972",0.136752136752137,2.94831682557314,4.69359506064705,8.64854466792918e-05,0.0004169834036323,0.000245475609935584,"207/596/7422/1499/7124/5295/4318/1843/3162/5155/4217/3553/5599/5970/857/3725",16
