"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","40/252","256/5972",0.15625,3.70287698412698,9.27739278979617,1.93841851772131e-13,5.29188255337917e-11,3.97885906269110e-11,"7157/2321/1278/285/356/3674/4846/5154/2064/1147/80310/2057/6696/8515/1021/5515/3575/4170/896/2688/2335/5747/5519/3675/2324/7057/4233/3718/7450/1277/1441/3560/3690/596/3912/3685/5623/3164/3678/894",40
"hsa05206","Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","29/252","146/5972",0.198630136986301,4.70721896064362,9.51842773393385,1.1733462914843e-12,1.60161768787608e-10,1.20422382547073e-10,"7157/5243/900/8651/5328/5154/2064/3162/4318/7430/5743/6935/4194/993/1021/4170/25/648/7057/960/4233/3690/10253/596/1869/6774/1786/3678/894",29
"hsa05200","Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","49/252","414/5972",0.118357487922705,2.80488459473967,7.98943612671887,1.4062152134817e-11,1.27965584426835e-09,9.62147251329586e-10,"7157/4843/356/6667/2944/3674/5154/2064/1147/3162/4318/6772/2113/2057/5888/581/5743/7046/1021/330/2353/4824/5925/3575/896/2335/5747/25/613/3675/890/2324/7040/4233/3718/1441/3560/596/6502/3912/1869/841/355/3685/861/183/6774/8900/894",49
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","17/252","60/5972",0.283333333333333,6.71455026455026,9.33719139571673,1.8974406577251e-10,1.29500324889738e-08,9.73686653306303e-09,"1278/3674/2815/6696/8515/2335/3675/7057/960/7450/1277/51206/3690/3912/2814/3685/3678",17
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","26/252","149/5972",0.174496644295302,4.13529349099819,8.13436641776694,3.8639463598593e-10,2.10971471248318e-08,1.58625166352119e-08,"3087/1649/7157/2321/6667/5328/5154/4005/4318/581/6935/330/860/25942/5747/890/648/4233/4613/3248/3560/1991/861/8900/604/894",26
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","26/252","163/5972",0.159509202453988,3.78011490894926,7.5532116147673,2.90329201908239e-09,1.32099786868249e-07,9.93231480212398e-08,"2321/1278/3674/5154/2064/80310/6696/8515/3611/330/896/2335/5747/6714/3675/2324/7057/4233/7450/1277/3690/596/3912/3685/3678/894",26
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","17/252","83/5972",0.204819277108434,4.85389175750622,7.42067776583801,4.16361316352285e-08,1.62380913377391e-06,1.22090912313828e-06,"7157/4843/3674/1147/581/5743/1021/330/5925/2335/5747/3675/596/6502/3912/1869/3685",17
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","32/252","267/5972",0.119850187265918,2.84025919980976,6.45702689611835,5.65345879004457e-08,1.92924281210271e-06,1.45055850534038e-06,"7157/5663/1278/356/3674/1147/6772/6696/8515/581/5743/1021/5515/5925/896/2335/5747/5519/3675/890/7057/7450/1277/3690/3912/1869/841/355/3685/3678/8900/894",32
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","16/252","80/5972",0.2,4.73968253968254,7.06763564915977,1.49970289081239e-07,4.5490987687976e-06,3.42037501413353e-06,"7037/3674/2815/2057/920/3575/3675/960/290/925/1378/1441/3690/915/2814/3678",16
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","19/252","119/5972",0.159663865546218,3.78378017873816,6.43791070197983,4.28546025526128e-07,1.11984935114348e-05,8.41991993340962e-06,"7157/1457/1459/356/1147/6772/581/1021/2353/896/3718/1460/3560/596/841/915/355/6774/894",19
"hsa04630","Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","18/252","108/5972",0.166666666666667,3.94973544973545,6.49267637337216,4.51221350277592e-07,1.11984935114348e-05,8.41991993340962e-06,"8651/5154/4352/6772/2057/3586/3575/4170/896/2688/3718/1441/3560/596/9021/6774/11009/894",18
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","20/252","141/5972",0.141843971631206,3.36147697849825,5.95590200213791,1.48701167766554e-06,3.21010081297909e-05,2.41360963381886e-05,"7157/6554/356/1147/4318/6772/581/7046/2353/5925/6714/890/7040/3718/596/1869/841/355/6774/8900",20
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","18/252","117/5972",0.153846153846154,3.64590964590965,6.06638937473371,1.52861943475195e-06,3.21010081297909e-05,2.41360963381886e-05,"7157/2944/3674/4846/5154/1147/3162/4318/2353/6347/5747/6714/3690/8878/596/10365/3685/5175",18
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","15/252","91/5972",0.164835164835165,3.90633176347462,5.86362363072775,4.86850398779043e-06,9.49358277619134e-05,7.13803216254988e-05,"5054/4843/356/1147/3586/1636/7046/2353/5515/6347/5519/7040/841/915/355",15
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","22/252","180/5972",0.122222222222222,2.89647266313933,5.42243499656826,5.58436218500828e-06,0.000101635391767151,7.64175877948501e-05,"7157/1147/6772/581/1021/864/5925/25942/896/890/960/4067/3718/596/6502/1869/841/915/355/6774/8900/894",22
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","13/252","72/5972",0.180555555555556,4.27888007054674,5.87477943641978,7.54448681141877e-06,0.000128727806219833,9.67878242254382e-05,"7157/5054/900/64065/581/4194/1021/896/7057/596/841/355/894",13
