"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","31/411","108/5665",0.287037037037037,3.9563620798414,8.67534593365718,9.74238696682317e-12,3.01039757274836e-09,1.99975311424265e-09,"2353/596/1728/3162/4780/2950/9817/7295/7124/60/4257/6347/1432/4688/7422/27035/8878/857/4318/1906/5295/5599/5562/207/4313/7157/3551/2946/1499/71/10365",31
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","23/411","77/5665",0.298701298701299,4.11713590545707,7.70212212663986,2.12617708887654e-09,2.64189489299835e-07,1.75496339340718e-07,"596/1387/5925/2950/3479/1017/1869/2932/1026/5594/468/4193/3845/2260/2064/4318/5295/207/1385/5328/7157/3551/1499",23
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","24/411","84/5665",0.285714285714286,3.93812999652416,7.58738528417512,2.56494649805665e-09,2.64189489299835e-07,1.75496339340718e-07,"2353/596/6667/5925/3479/5566/1869/1432/1026/5594/196883/4851/1029/4193/3845/2064/4318/6464/5295/5599/54567/207/4313/7157",24
"hsa05200","Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","60/411","386/5665",0.155440414507772,2.14250595665822,6.50300058997561,5.52761007258044e-09,4.27007878106839e-07,2.83653674777154e-07,"2353/596/1387/6667/1728/8900/3162/5925/4843/4780/2950/5914/3479/9817/5566/2261/4609/894/1017/4257/1869/2932/1026/1030/5594/7296/196883/332/7040/7422/9978/4851/1029/6778/4193/3845/6513/2335/2260/2064/324/3688/598/4318/1906/1487/5295/5599/54567/207/10018/3091/3559/2247/4313/7157/3551/2946/3066/1499",60
"hsa05206","Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","31/411","139/5665",0.223021582733813,3.07400794692713,6.92388546284351,9.37809039016793e-09,5.79565986112378e-07,3.84995289701631e-07,"596/1387/960/3162/2261/4609/894/1869/1545/1026/5594/4363/7422/4851/1029/994/4193/4170/3845/2064/324/672/4318/6464/5295/10018/5328/7431/7157/3551/3066",31
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","33/411","157/5665",0.210191082802548,2.89715932865312,6.74208409333825,1.48112917131009e-08,7.62781523224694e-07,5.06702084921871e-07,"960/3479/5566/7124/4609/60/1432/1026/5594/7040/7422/5777/4193/3845/288/1278/2335/2260/2064/857/8826/3688/4318/5295/207/3091/2247/4313/5328/7157/1499/71/286",33
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","14/411","35/5665",0.4,5.51338199513382,7.49064845988533,5.09059130491977e-08,2.24713244745744e-06,1.49272978114189e-06,"5925/2261/4609/1869/1026/5594/7422/1029/4193/3845/2064/4318/4313/7157",14
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","36/411","198/5665",0.181818181818182,2.50608272506083,6.03315362893255,1.67685119370372e-07,6.47683773568063e-06,4.30244714173982e-06,"2353/1958/6722/920/1387/8900/5925/5566/7124/4609/894/1017/1869/1026/1030/5594/8829/196883/7040/468/1029/9133/3845/6513/598/5295/5599/207/3559/3932/6929/1385/8061/7157/3551/5530",36
"hsa01524","Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","18/411","63/5665",0.285714285714286,3.93812999652416,6.55854086090847,2.63592502762447e-07,9.0500092615107e-06,6.01175883493301e-06,"596/2950/4257/1244/1026/5594/332/7155/1029/4193/2064/598/672/5295/207/1317/7157/2946",18
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","28/411","136/5665",0.205882352941176,2.83777014455417,6.06701194772057,3.02408657916388e-07,9.34442752961639e-06,6.2073356098627e-06,"1728/3162/5925/4780/2950/9817/4609/6599/60/4257/1869/2932/1026/6597/5594/7296/7040/1029/3845/324/598/6464/5295/207/7157/2946/1499/71",28
"hsa05207","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","27/411","135/5665",0.2,2.75669099756691,5.77746327256871,9.09280209806206e-07,2.55425077118289e-05,1.69674297523646e-05,"2353/596/5925/5566/4609/196/4257/1869/2052/1545/5594/196883/332/468/7422/23633/775/3845/5295/54567/207/2247/1385/3836/3837/2946/9970",27
