Auto_Patient1_1vs4	Auto_Patient1_4vs8	Auto_Patient1_8vs11	Auto_Patient1_11vs14	Auto_Patient2_1vs4	Auto_Patient2_4vs8	Auto_Patient2_8vs11	Auto_Patient2_11vs14	Auto_Patient3_1vs4	Auto_Patient3_4vs8	Auto_Patient3_8vs11	Auto_Patient3_11vs14	Mono_Patient1_1vs4	Mono_Patient1_4vs8	Mono_Patient1_8vs11	Mono_Patient1_11vs14	Mono_Patient2_1vs4	Mono_Patient2_4vs8	Mono_Patient2_8vs11	Mono_Patient2_11vs14	Mono_Patient3_1vs4	Mono_Patient3_4vs8	Mono_Patient3_8vs11	Mono_Patient3_11vs14
NKRF	0	0	0	2.17887736290269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFAM	0	0	0	2.01681601833348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHRR	-2.13735751050027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARID1B	2.47180080238714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.41713288679294	0	0	0	0	0	0	0
BHLHE40	2.04465212233336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13992443607679	0	0	0	0
E2F5	2.21620356615973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.39721213933893	0	2.05642454192262	2.30458452125762
EBF1	-1.96920650758013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXA10	-2.08716460876414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXB13	2.52725269646137	0	0	0	0	0	0	0	0	0	0	0	2.23898880346018	0	0	0	0	0	0	0	0	0	0	0
IRF4	-2.09380439096135	0	0	0	0	0	0	0	0	0	0	0	-2.02320492571745	0	0	0	0	0	0	0	0	0	0	0
MNT	-2.35654003983783	0	0	0	0	0	0	0	0	0	0	0	-2.50438757008802	0	0	0	0	0	0	0	0	0	0	0
NFKB2	-2.27238758532101	0	0	0	0	0	2.09967895277288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR3C1	2.15658481679781	0	0	0	0	2.01973694179305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAX5	-2.2260059287056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PITX3	-2.12791090188443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX21	-2.07021856242628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEAD4	2.28196242103345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFB1I1	-2.05113539012529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB32	2.34934285608514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOT1L	0	-2.10205360024555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDAC1	0	2.40703745979152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEUROG1	0	-2.10769911965286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP1	0	-2.03525008484779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRSF2	0	2.31751933902749	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08933862959555	0	0	0	0	-2.01054880473401	0	0	2.06417702616983
STAT1	0	-2.5916622377595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARID4A	0	0	-2.13753875502313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELF2	0	0	-2.51403667984699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETS1	0	0	-2.29360185887304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV3	0	0	2.008557301905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EWSR1	0	0	2.323447145556	0	0	-2.05974688815111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDAC3	0	0	2.38718388539635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HHEX	0	0	-2.01564542156189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXB9	0	0	2.29978754450304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ING4	0	0	-1.98322831693289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOG	0	0	-2.32538629118085	0	0	0	0	2.1562872597943	0	0	0	2.02966204301438	0	0	0	0	0	0	0	0	0	0	0	0
NR2E1	0	0	2.1456991898005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SIN3A	0	0	-2.26764982944908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SIX1	0	0	-2.69029987404325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHLHE41	0	0	0	0	0	2.27383312842184	0	2.06467288059218	0	0	0	0	0	0	0	0	2.63094959055682	0	0	0	0	0	0	0
ERF	0	0	0	0	0	0	0	-2.02804465745349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAFA	0	0	0	0	0	0	0	2.11033373256719	0	0	0	0	-2.03467376651026	0	0	0	0	0	0	0	0	0	0	0
ZNF804A	0	0	0	0	0	0	0	2.11479192865846	0	0	0	0	0	0	0	0	0	0	0	0	-2.01606905484994	0	0	0
FOXC1	0	0	0	0	-2.00477466084654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXF2	0	0	0	0	2.54356530368128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0059560946016
MBD1	0	0	0	0	2.06749995426832	0	0	0	0	0	0	0	0	0	0	0	2.04756649194393	0	0	0	0	0	0	2.02592607229213
MYOD1	0	0	0	0	2.05941074796432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUNX3	0	0	0	0	2.4264330857167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STOX1	0	0	0	0	2.06752452604118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.0407376020803	0	2.04618470334859	0
ZGPAT	0	0	0	0	2.5360249513986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FHL2	0	0	0	0	0	2.90314766705522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXH1	0	0	0	0	0	2.13587533756354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
