NAME	CLL	Tcells	Bcells	NKcells	Monocytes.Macrophages
VPREB3	0.941930251419303	0.0587755102040816	0.526674233825199	0.0733333333333333	0.268817204301075
KIAA0226L	0.504460665044607	0.0448979591836735	0.266742338251986	0.04	0.139784946236559
PCDH9	0.409083536090835	0.0391836734693878	0.214301929625426	0.00666666666666667	0.139784946236559
TCL1A	4.08288726682887	0.275918367346939	2.74982973893303	0.186666666666667	0.860215053763441
RP5-1171I10.5	0.590105433901054	0.27265306122449	0.256980703745743	0.566666666666667	0.526881720430108
SEC62	1.77664233576642	0.526530612244898	1.12077185017026	0.5	0.67741935483871
AIM2	0.209245742092457	0.0351020408163265	0.0905788876276958	0.0733333333333333	0.010752688172043
IGHA1	0.726196269261963	0.0685714285714286	0.508967082860386	0.0333333333333333	0.129032258064516
TMEM60	0.167396593673966	0.0595918367346939	0.0624290578887628	0.153333333333333	0.043010752688172
STX7	0.484509326845093	0.0677551020408163	0.317366628830874	0.166666666666667	0.161290322580645
ARHGAP24	0.788321167883212	0.0522448979591837	0.587514188422247	0.12	0.161290322580645
CD72	0.282238442822384	0.0220408163265306	0.177752553916005	0.0266666666666667	0.0967741935483871
CTD-2012K14.6	0.114679643146796	0.0146938775510204	0.0417707150964813	0.0266666666666667	0.010752688172043
AL928768.3	0.221735604217356	0.0163265306122449	0.132349602724177	0	0.032258064516129
QRSL1	0.400973236009732	0.0481632653061225	0.273552780930761	0.0733333333333333	0.118279569892473
LUC7L3	0.564963503649635	0.274285714285714	0.338706015891033	0.32	0.376344086021505
TPTEP1	0.109489051094891	0.0122448979591837	0.0401816118047673	0.04	0.032258064516129
SOWAHD	0.0656934306569343	0	0.0072644721906924	0.0133333333333333	0.032258064516129
CH17-373J23.1	0.373073803730738	0.076734693877551	0.190692395005675	1.74	0.150537634408602
HVCN1	0.445579886455799	0.0408163265306122	0.318728717366629	0.153333333333333	0.10752688172043
SPIB	0.433414436334144	0.0293877551020408	0.321679909194098	0.0333333333333333	0.0752688172043011
MARCH1	0.294566098945661	0.0228571428571429	0.186152099886493	0.513333333333333	0.0967741935483871
E2F5	0.158475263584753	0.0187755102040816	0.0871736662883087	0.0133333333333333	0.043010752688172
RP11-693J15.5	0.412489862124899	0.0179591836734694	0.310102156640182	0.0333333333333333	0.0645161290322581
SNX2	0.36220600162206	0.0873469387755102	0.238592508513053	0.28	0.150537634408602
CD180	0.0789943227899432	0.00244897959183673	0.0233825198637911	0.0533333333333333	0.032258064516129
SCIMP	0.263098134630981	0.0236734693877551	0.169807037457435	0.44	0.0537634408602151
GPM6B	0.0905109489051095	0.0408163265306122	0.0256526674233825	0.00666666666666667	0.032258064516129
SBF2	0.20470397404704	0.128979591836735	0.0967082860385925	0.16	0.161290322580645
PPP1R3E	0.107218167072182	0.0195918367346939	0.0469920544835414	0.02	0.0645161290322581
FCMR	1.12587185725872	0.188571428571429	0.923496027241771	0.08	0.397849462365591
DYNLL1	1.00746147607461	0.675918367346939	0.630874006810443	1.33333333333333	0.698924731182796
CD200	0.105109489051095	0.0106122448979592	0.0506242905788876	0.00666666666666667	0.021505376344086
LYL1	0.159772911597729	0.0302040816326531	0.0851305334846765	0.306666666666667	0.032258064516129
SIT1	0.390429845904298	0.250612244897959	0.244040862656073	0.0133333333333333	0.118279569892473
WDR66	0.0687753446877535	0.00897959183673469	0.0188422247446084	0.00666666666666667	0.010752688172043
LSM10	0.520843471208435	0.160816326530612	0.375709421112372	0.413333333333333	0.182795698924731
BCL7A	0.178426601784266	0.0220408163265306	0.114642451759364	0.04	0.0645161290322581
RALGPS2	0.304785077047851	0.0318367346938776	0.227922814982974	0.02	0.129032258064516
LL22NC03-2H8.5	0.0882400648824006	0.0106122448979592	0.0367763904653802	0.02	0
C14orf119	0.168856447688564	0.138775510204082	0.0667423382519864	0.173333333333333	0.204301075268817
RNASE6	0.169505271695053	0.0228571428571429	0.0967082860385925	0.373333333333333	0.0645161290322581
TNFRSF17	0.0974858069748581	0.0073469387755102	0.0483541430192963	0.00666666666666667	0
TRIM13	0.0991078669910787	0.0693877551020408	0.0304199772985244	0.04	0.10752688172043
CD24	1.03617193836172	0.073469387755102	0.905788876276958	0.0533333333333333	0.311827956989247
IL32	0.0175182481751825	4.86530612244898	0.0102156640181612	0.1	1.61290322580645
CCL5	0.0343876723438767	6.20408163265306	0.029738933030647	0.186666666666667	5.75268817204301
NKG7	0.0184914841849148	5.92408163265306	0.011577752553916	0.3	11.8064516129032
CD3D	0.0167072181670722	2.4269387755102	0.0108967082860386	0.0533333333333333	0.236559139784946
GZMH	0.00924574209245742	1.93224489795918	0.00408626560726447	0.0866666666666667	1.47311827956989
GZMA	0.0116788321167883	2.14857142857143	0.00635641316685585	0.02	3.34408602150538
GNLY	0.0218978102189781	3.93061224489796	0.0104426787741203	0.1	18.4408602150538
GZMK	0.0102189781021898	1.48081632653061	0.00635641316685585	0.04	0.150537634408602
CD8B	0.00389294403892944	1.17224489795918	0.00158910329171396	0.0266666666666667	0.043010752688172
CST7	0.0089213300892133	1.64408163265306	0.0220204313280363	0.0333333333333333	3.31182795698925
